Country	Type	Mountain	Latitude	Longitude	Elevation
India	Mountain	Tent Peak	27.783232	88.201083	6535 m
India	Mountain	Kanchenjunga Mountain	27.703449	88.153473	8000 m
India	Mountain	Talung Mountain	27.649121	88.133384	6525 m
India	Mountain	Kabru Mountain	27.614859	88.11893	7190 m
India	Mountain	Kokthang Mountain	27.566994	88.092436	5801 m
India	Mountain	Arralang Mountain	27.464479	88.233267	4524 m
India	Mountain	Siniolchu Mountain	27.712245	88.323568	6888 m
India	Mountain	Narsingh Mountain	27.515149	88.283494	5127 m
India	Mountain	Namprik Mountain	27.50079	88.366052	4223 m
India	Mountain	Jaure Danra Mountain	27.483745	88.350203	3629 m
India	Mountain	Pemikhangchhen Mountain	27.59584	88.566609	3983 m
India	Mountain	Labi Mountain	27.297806	88.051451	3018 m
India	Mountain	Dhond Mountain	27.33286	88.067108	3682 m
India	Mountain	Singlila Mountain	27.232145	88.033173	3399 m
India	Mountain	Tal Danda Mountain	27.198949	88.099007	3034 m
India	Mountain	Ghoramara Mountain	26.86884	88.415985	2040 m
India	Mountain	Chameringu Mountain	27.64879	88.648398	4065 m
India	Mountain	Kephyaklo Mountain	27.248404	88.799105	2953 m
India	Mountain	Pangolakha Mountain	27.19927	88.783578	2746 m
India	Mountain	Brahamyoni Mountain	24.77342	84.984844	541 m
India	Mountain	Rajgir Mountain	25.007121	85.460733	847 m
India	Mountain	Dubaur Mountain	24.597912	85.584698	1920 m
India	Mountain	Guhiya Mountain	25.143097	85.82358	184 m
India	Mountain	Parasnath Mountain	23.964783	86.133765	1351 m
India	Mountain	Trikut Mountain	24.486065	86.833189	726 m
India	Mountain	Lugu Pahar Mountain	23.787876	85.705499	866 m
India	Mountain	Kimsi Buru Mountain	22.5302952	85.6523082	1120 m
India	Mountain	Chitung Buru Mountain	22.5006171	85.6528356	1080 m
India	Mountain	Silpor Mountain	23.327872	86.016788	945 m
India	Mountain	Maithon Mountain	23.7792124	86.8183525	300 m
India	Mountain	Panchet Mountain	23.628641	86.764707	1543 m
India	Mountain	Joy Chandi Mountain	23.522064	86.667135	773 m
India	Mountain	Susunia Mountain	23.395661	86.984719	1442 m
India	Mountain	Rajmahal Mountain	24.666004	87.416066	1025 m
India	Mountain	Singarsi Mountain	24.631879	87.467365	1505 m
India	Mountain	Gambhirgad Mountain	20.065418	73.051811	1065 m
India	Mountain	Mahalkshmi Mountain	19.932326	72.916166	1069 m
India	Mountain	Kaladurg Mountain	19.691095	72.818056	1317 m
India	Mountain	Takmak Mountain	19.564864	72.942034	1645 m
India	Mountain	Kohoj Mountain	19.67494	72.986974	1592 m
India	Mountain	Baronada Mountain	19.44939	72.850513	557 m
India	Mountain	Tungar Mountain	19.43246	72.917506	1632 m
India	Mountain	Kamandurg Mountain	19.36634	72.950136	899 m
India	Mountain	Kurhadia Mountain	19.3000776	72.9162364	444 m
India	Mountain	Shendur Mountain	19.249675	72.933671	848 m
India	Mountain	Kanheri Mountain	19.217092	72.916911	1327 m
India	Mountain	Kharavali Mountain	18.897796	72.920626	495 m
India	Mountain	Karanja Mountain	18.858864	72.934763	728 m
India	Mountain	Kankeshwar Mountain	18.750276	72.918706	1101 m
India	Mountain	Parhur Mountain	18.681867	72.900115	258 m
India	Mountain	Sagargarh Mountain	18.649139	72.967834	537 m
India	Mountain	Chaul Knob Mountain	18.516617	72.9335	116 m
India	Mountain	Titvi Mountain	18.366386	73.01656	1024 m
India	Mountain	Madgarh Mountain	18.149144	73.025712	722 m
India	Mountain	Kante Mountain	17.959049	73.088427	1048 m
India	Mountain	Choolgiri Mountain	22.029338	74.835446	250 m
India	Mountain	Salher Mountain	20.913664	73.949144	2143 m
India	Mountain	Satmala Hill Mountain	20.228758	74.335869	2096 m
India	Mountain	Yarul Mountain	19.975677	75.151976	2519 m
India	Mountain	Satpura Mountain	21.401702	76.104725	1350 m
India	Mountain	Dhar Mountain	21.469782	77.549147	552 m
India	Mountain	Ajanta Mountain	20.496727	75.999315	2202 m
India	Mountain	Mahur Mountain	19.836067	77.941355	1892 m
India	Mountain	Mahuli Mountain	19.465247	73.249936	2017 m
India	Mountain	Kalasubai Mountain	19.596773	73.706251	1643 m
India	Mountain	Hanchadragarh Mountain	19.399134	73.768153	4175 m
India	Mountain	Malangarh Mountain	19.106811	73.17732	1462 m
India	Mountain	Matheran	18.985921	73.265819	800 m
India	Mountain	Karnala Mountain	18.895545	73.126493	1015 m
India	Mountain	Shingi Mountain	18.944433	73.67869	2555 m
India	Mountain	Wafgaon Mountain	18.910838	74.018382	2575 m
India	Mountain	Mathuri Mountain	19.163467	75.465709	1780 m
